,Number of movements ;  Permanent Arrivals ;,Number of movements ;  Long-term Residents returning ;,Number of movements ;  Long-term Visitors arriving ;,Number of movements ;  Permanent and Long-term Arrivals ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Residents returning ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Short-term Visitors arriving ;,Number of movements ;  Total Arrivals ;
Aug-97,6460,5960,5980,18390,244210,,,330430,,,593040
Sep-97,6250,6330,5910,18480,270560,,,330940,,,619970
Oct-97,6040,6670,6850,19560,324170,,,366480,,,710200
Nov-97,6230,7440,5170,18830,235550,,,379460,,,633830
Dec-97,6660,13230,4580,24480,175170,,,448280,,,647930
Jan-98,7040,8430,14550,30020,335980,,,346230,,,712230
Feb-98,6170,6120,22030,34310,223830,,,353610,,,611750
Mar-98,6400,5900,6780,19080,217210,,,338560,,,574840
Apr-98,6410,6100,6520,19030,237730,,,341080,,,597840
May-98,6160,5070,4990,16210,233270,,,283400,,,532880
Jun-98,7010,6170,5630,18810,237350,,,304190,,,560350
Jul-98,7430,5870,15950,29250,295130,,,372300,,,696680
Aug-98,6940,4650,7790,19380,271030,,,323680,,,614090
Sep-98,6680,5100,7220,19000,285870,,,323860,,,628740
Oct-98,6920,5280,8300,20490,355790,,,354750,,,731040
Nov-98,6550,5960,6370,18870,251450,,,367910,,,638220
Dec-98,7380,10670,5890,23930,199300,,,457640,,,680870
Jan-99,7930,5750,18230,31910,371460,,,350980,,,754350
Feb-99,6930,5360,20790,33080,221700,,,398570,,,653350
Mar-99,7100,5250,8090,20440,226250,,,389020,,,635700
Apr-99,6650,4360,8030,19040,248680,,,334130,,,601850
May-99,6920,4360,6420,17710,234160,,,298130,,,550000
Jun-99,6730,5300,6820,18850,230800,,,317060,,,566700
Jul-99,7580,6480,18100,32160,314310,,,388460,,,734920
Aug-99,7840,5690,7790,21310,268520,,,355610,,,645450
Sep-99,7600,6250,7930,21780,299260,,,353130,,,674170
Oct-99,7500,6490,9260,23250,355970,,,396980,,,776210
Nov-99,7260,8340,7450,23040,246670,,,416670,,,686390
Dec-99,7980,12500,6830,27300,208330,,,460780,,,696410
Jan-00,9990,6610,18550,35150,357490,,,360800,,,753440
Feb-00,7240,5820,24810,37880,236470,,,434590,,,708940
Mar-00,7170,5310,8350,20830,230820,,,411860,,,663510
Apr-00,7800,6080,8440,22320,279570,,,405620,,,707500
May-00,7010,4560,7550,19120,256090,,,319350,,,594550
Jun-00,7310,5520,8150,20980,246420,,,347940,,,615350
Jul-00,8240,6690,19790,34720,330430,,,429030,,,794190
Aug-00,8650,6290,8620,23570,283030,,,372850,,,679450
Sep-00,7260,5960,8730,21950,328390,,,402970,,,753310
Oct-00,8280,6240,10940,25460,369620,,,426510,,,821590
Nov-00,8100,7540,8200,23840,275800,,,459910,,,759550
Dec-00,10120,13690,7930,31740,228880,,,559930,,,820560
01-Jan,11740,8060,22850,42650,415540,,,416600,,,874790
01-Feb,11760,6090,29810,47660,256290,,,429200,,,733150
01-Mar,7920,6150,11720,25790,253100,,,428750,,,707640
01-Apr,8540,5960,11320,25810,288150,,,405380,,,719340
01-May,9540,4530,8550,22620,250230,,,330180,,,603030
01-Jun,7210,5700,9850,22760,263550,,,370020,,,656320
01-Jul,7900,6670,24450,39030,349370,,,446880,,,835280
01-Aug,7580,6120,11090,24790,288490,,,384590,,,697870
01-Sep,7350,6680,10910,24940,314670,,,366290,,,705910
01-Oct,7020,6770,11870,25660,346140,,,378470,,,750270
01-Nov,6760,7720,8870,23350,225700,,,376190,,,625250
01-Dec,7570,14680,9120,31360,198700,,,523190,,,753250
02-Jan,7980,7810,25030,40820,367480,,,379290,,,787590
02-Feb,6880,7240,29610,43730,227160,,,437240,,,708130
02-Mar,7310,7440,14660,29400,253950,,,446500,,,729840
02-Apr,7080,5580,11380,24030,265610,,,360310,,,649940
02-May,7300,5290,8870,21460,246890,,,329950,,,598300
02-Jun,8180,6610,10020,24810,260820,,,339390,,,625020
02-Jul,7590,7570,25790,40950,342870,,,418160,,,801980
02-Aug,8230,7200,11940,27370,292330,,,371940,,,691630
02-Sep,7570,7010,10680,25250,308280,,,358570,,,692100
02-Oct,6780,7360,13300,27450,372510,,,428860,,,828820
02-Nov,7210,8520,9780,25500,252420,,,437020,,,714940
02-Dec,7250,14790,9200,31230,204570,,,533970,,,769760
03-Jan,7870,8610,24690,41170,401080,,,396650,,,838900
03-Feb,7310,7310,35040,49670,243490,,,427480,,,720640
03-Mar,8410,7370,15360,31140,249170,,,392470,,,672780
03-Apr,8230,7250,9880,25350,227230,,,321510,,,574090
03-May,8000,5660,8250,21910,205090,,,260900,,,487890
03-Jun,9470,7140,10190,26810,210830,,,308270,,,545910
03-Jul,9750,7950,27090,44790,311210,,,415510,,,771510
03-Aug,9930,7480,11980,29390,283930,,,362250,,,675570
03-Sep,9010,7700,10810,27510,313890,,,385600,,,727000
03-Oct,8100,8150,13380,29620,374300,,,435330,,,839260
03-Nov,8740,8890,10350,27980,272800,,,473280,,,774060
03-Dec,9080,15330,8710,33110,237820,,,566600,,,837530
04-Jan,9650,8680,25760,44080,465970,,,420170,,,930230
04-Feb,8820,7410,38200,54420,305890,,,454820,,,815130
04-Mar,9330,7180,13910,30420,291300,,,432280,,,754000
04-Apr,9440,7080,11720,28250,339540,,,402790,,,770580
04-May,9690,5680,8750,24120,305850,,,341260,,,671220
04-Jun,10060,6880,10680,27630,310790,,,367280,,,705690
04-Jul,10200,8170,34940,53320,431690,,,467550,,,952560
04-Aug,10680,7080,15000,32760,349180,,,403060,,,785000
04-Sep,10180,7900,13250,31330,387870,,,393510,,,812710
04-Oct,9700,8090,16300,34090,470250,,,447380,,,951720
04-Nov,9470,8910,12420,30810,329320,,,478020,,,838150
04-Dec,10280,15910,11420,37610,290500,,,591390,,,919500
05-Jan,10890,9040,33600,53530,563380,,,456920,,,1073840
05-Feb,9780,8510,39750,58040,322310,,,498780,,,879130
05-Mar,11690,8900,17870,38460,342100,,,502090,,,882640
05-Apr,10670,7030,15260,32950,370080,,,406580,,,809610
05-May,9940,5910,12250,28100,329290,,,351290,,,708680
05-Jun,9970,7250,14870,32100,354300,,,377010,,,763400
