date,close,close_raw,open,high,low,tvol,tamt,sign
2008-03-06,3.637,120.413,3.7478,3.8346,3.6334,52632100.0,6337580000.0,5
2008-03-07,3.6767,121.727,3.6213,3.6986,3.5804,43953700.0,5350350000.0,2
2008-03-10,3.5997,119.178,3.6686,3.7131,3.5901,35739000.0,4259310000.0,5
2008-03-11,3.8301,126.806,3.7323,3.834,3.6692,41622200.0,5277940000.0,2
2008-03-12,3.7904,125.491,3.8208,3.8701,3.7645,37843900.0,4749060000.0,5
2008-03-13,3.8478,127.393,3.7323,3.8947,3.6992,45151300.0,5751950000.0,2
2008-03-14,3.8078,126.069,3.9062,3.9188,3.7353,41316300.0,5208700000.0,5
2008-03-17,3.8114,126.188,3.6857,3.8674,3.6857,38307100.0,4833890000.0,2
2008-03-18,3.9946,132.252,3.8851,4.0,3.8698,43039900.0,5692120000.0,2
2008-03-19,3.8999,129.116,4.0036,4.0388,3.8999,36090600.0,4659870000.0,5
2008-03-20,4.0081,132.7,3.9434,4.0088,3.8851,32456600.0,4307000000.0,2
2008-03-24,4.1964,138.933,4.0304,4.2361,4.0193,38119500.0,5296060000.0,2
2008-03-25,4.24,140.377,4.2093,4.3037,4.1302,37596100.0,5277630000.0,2
2008-03-26,4.3627,144.44,4.2367,4.3832,4.2298,42217200.0,6097860000.0,2
2008-03-27,4.218,139.65,4.3594,4.3702,4.2102,35708100.0,4986640000.0,5
2008-03-28,4.3011,142.399,4.2647,4.3504,4.2587,25547100.0,3637880000.0,2
2008-03-31,4.3158,142.887,4.3089,4.3823,4.2863,27430800.0,3919510000.0,2
2008-04-01,4.4971,148.891,4.4,4.501,4.3191,36877300.0,5490700000.0,2
2008-04-02,4.4358,146.859,4.4746,4.5474,4.3864,37320200.0,5480810000.0,5
2008-04-03,4.5597,150.962,4.4228,4.6204,4.4211,37563000.0,5670590000.0,2
2008-04-04,4.6039,152.426,4.5771,4.6531,4.5338,30527900.0,4653250000.0,2
2008-04-07,4.6884,155.224,4.6957,4.8027,4.665,41396000.0,6425650000.0,2
2008-04-08,4.5967,152.187,4.6181,4.7053,4.5811,36258600.0,5518090000.0,5
2008-04-09,4.5546,150.793,4.6108,4.6283,4.5251,31211100.0,4706420000.0,5
2008-04-10,4.6481,153.889,4.5453,4.6743,4.5293,34160300.0,5256900000.0,2
2008-04-11,4.4253,146.511,4.5931,4.6105,4.403,43216900.0,6331760000.0,5
2008-04-14,4.4445,147.148,4.4141,4.4887,4.3471,30189400.0,4442310000.0,2
2008-04-15,4.4626,147.746,4.4932,4.5029,4.3826,24929900.0,3683290000.0,2
2008-04-16,4.6226,153.043,4.563,4.6346,4.5299,28420400.0,4349550000.0,2
2008-04-17,4.6463,153.83,4.6367,4.6917,4.612,25189300.0,3874870000.0,2
2008-04-18,4.8433,160.352,4.7856,4.88,4.7633,36670100.0,5880130000.0,2
2008-04-21,5.0574,167.441,4.8785,5.0677,4.8649,37112600.0,6214170000.0,2
2008-04-22,4.818,159.515,5.0346,5.0526,4.7546,51413200.0,8201180000.0,5
2008-04-23,4.899,162.194,4.9338,4.9576,4.8445,53721100.0,8713240000.0,2
2008-04-24,5.0809,168.218,4.9726,5.1122,4.7878,60616300.0,10196700000.0,2
2008-04-25,5.1046,169.004,5.1338,5.1459,5.0051,35445400.0,5990420000.0,2
