date,close,close_raw,open,high,low,tvol,tamt,sign
2008-02-13,13.2693,534.62,12.9685,13.2785,12.8739,6632320.0,3545770000.0,2
2008-02-14,13.2105,532.25,13.3619,13.4286,13.1795,6480150.0,3449060000.0,5
2008-02-15,13.1457,529.64,13.1127,13.2207,13.0139,5243510.0,2777170000.0,5
2008-02-19,12.6322,508.95,13.2772,13.2802,12.5714,6352530.0,3233120000.0,5
2008-02-20,12.6334,509.0,12.4971,12.6833,12.3807,6668010.0,3394020000.0,2
2008-02-21,12.481,502.86,12.729,12.7379,12.3976,5678660.0,2855570000.0,5
2008-02-22,12.6036,507.8,12.4612,12.6334,12.3492,5516480.0,2801270000.0,2
2008-02-25,12.0735,486.44,12.5577,12.5714,12.0561,8372710.0,4072820000.0,5
2008-02-26,11.5212,464.19,11.447,11.5778,11.0908,23290900.0,10811400000.0,5
2008-02-27,11.7364,472.86,11.4205,11.8017,11.4083,10127200.0,4788730000.0,2
2008-02-28,11.7992,475.39,11.6778,11.891,11.5999,6590490.0,3133050000.0,2
2008-02-29,11.6947,471.18,11.7118,11.9072,11.5326,9426620.0,4441630000.0,5
2008-03-03,11.3433,457.02,11.7029,11.7329,11.1718,7557090.0,3453740000.0,5
2008-03-04,11.035,444.6,11.1926,11.2524,10.8161,13628300.0,6059130000.0,5
2008-03-05,11.1119,447.7,11.0511,11.2725,11.0201,7439610.0,3330710000.0,2
2008-03-06,10.7396,432.7,11.1117,11.2509,10.7019,7471190.0,3232790000.0,5
2008-03-07,10.7558,433.35,10.6448,10.9208,10.5793,8071890.0,3497950000.0,2
2008-03-10,10.2661,413.62,10.6436,10.6974,10.2517,7989820.0,3304750000.0,5
2008-03-11,10.9169,439.84,10.555,10.9245,10.5398,8832030.0,3884680000.0,2
2008-03-12,10.9253,440.18,10.9211,11.1164,10.8729,6652330.0,2928220000.0,2
2008-03-13,10.9955,443.01,10.7389,11.0941,10.6423,7727580.0,3423390000.0,2
2008-03-14,10.8692,437.92,10.9948,11.1526,10.688,6574550.0,2879130000.0,5
2008-03-17,10.4212,419.87,10.6227,10.7647,10.2286,7890150.0,3312840000.0,5
2008-03-18,10.9,439.16,10.6473,10.9417,10.5617,7240520.0,3179750000.0,2
2008-03-19,10.7223,432.0,10.9484,11.107,10.7141,6179190.0,2669410000.0,5
2008-03-20,10.7607,433.55,10.6061,10.8141,10.3624,9913320.0,4297920000.0,2
2008-03-24,11.4311,460.56,10.8819,11.5607,10.8642,6764490.0,3115460000.0,2
2008-03-25,11.1884,450.78,11.3542,11.3544,11.0697,5833210.0,2629490000.0,5
2008-03-26,11.3723,458.19,11.2333,11.4885,11.1514,5225700.0,2394360000.0,2
2008-03-27,11.0221,444.08,11.0697,11.1345,10.933,5832990.0,2590310000.0,5
2008-03-28,10.8732,438.08,11.106,11.2576,10.7796,4377080.0,1917510000.0,5
2008-03-31,10.9325,440.47,10.8126,10.9876,10.7225,4446370.0,1958490000.0,2
2008-04-01,11.5589,465.71,11.1129,11.5786,11.0913,6093550.0,2837830000.0,2
2008-04-02,11.5587,465.7,11.6629,11.8079,11.4269,5999800.0,2794110000.0,5
2008-04-03,11.2961,455.12,11.4602,11.4989,11.1226,6778450.0,3085010000.0,5
2008-04-04,11.6925,471.09,11.343,11.8598,11.3229,5898620.0,2778780000.0,2
2008-04-07,11.8347,476.82,11.8399,12.0486,11.753,5945420.0,2834900000.0,2
2008-04-08,11.6111,467.81,11.7409,11.7682,11.4671,4550210.0,2128630000.0,5
2008-04-09,11.5212,464.19,11.6438,11.7151,11.3562,6048040.0,2807440000.0,5
2008-04-10,11.6426,469.08,11.5403,11.7613,11.4631,5073690.0,2379970000.0,2
2008-04-11,11.3539,457.45,11.5182,11.5974,11.2934,4169660.0,1907410000.0,5
2008-04-14,11.2102,451.66,11.3467,11.3539,11.1727,3842500.0,1735500000.0,5
2008-04-15,11.0906,446.84,11.3708,11.4103,11.0132,4586500.0,2049430000.0,5
2008-04-16,11.2939,455.03,11.03,11.3745,10.9456,7630660.0,3472180000.0,2
2008-04-17,11.1576,449.54,11.3088,11.4016,11.0827,13409100.0,6027940000.0,5
2008-04-18,13.3882,539.41,13.2839,13.5939,13.0248,18239700.0,9838690000.0,2
2008-04-21,13.348,537.79,13.3877,13.4671,13.1618,7444120.0,4003370000.0,5
